date,location,new_confirmed,new_deceased,new_recovered,total_confirmed,total_deceased
2021-02-11,US_NY_NYC,3411,96,0,575963,23346
2021-02-12,US_NY,8404,139,0,1512690,36882
2021-02-12,US_NY_NYC,3313,82,0,579276,23428
2021-02-13,US_NY,8763,127,0,1521453,37009
2021-02-13,US_NY_NYC,2204,82,0,581480,23510
2021-02-14,US_NY,8316,109,0,1529769,37118
2021-02-14,US_NY_NYC,1896,80,0,583376,23590
2021-02-15,US_NY,6365,103,0,1536134,37221
2021-02-15,US_NY_NYC,2857,84,0,586233,23674
2021-02-16,US_NY,6753,107,0,1542887,37328
2021-02-16,US_NY_NYC,3724,85,0,589957,23759
2021-02-17,US_NY,6092,112,0,1548979,37440
2021-02-17,US_NY_NYC,3438,81,0,593395,23840
2021-02-18,US_NY,6794,116,0,1555773,37556
2021-02-18,US_NY_NYC,2047,54,0,595442,23894
2021-02-19,US_NY,8710,119,0,1564483,37675
2021-02-19,US_NY_NYC,3018,57,0,598460,23951
2021-02-20,US_NY,7692,101,0,1572175,37776
2021-02-20,US_NY_NYC,2494,69,0,600954,24020
2021-02-21,US_NY,6610,75,0,1578785,37851
2021-02-21,US_NY_NYC,2287,59,0,603241,24079
2021-02-22,US_NY,6146,90,0,1584931,37941
2021-02-22,US_NY_NYC,3615,74,0,606856,24153
2021-02-23,US_NY,6654,90,0,1591585,38031
2021-02-23,US_NY_NYC,3473,73,0,610329,24226
2021-02-24,US_NY,6189,104,0,1597774,38135
2021-02-24,US_NY_NYC,3461,79,0,613790,24305
2021-02-25,US_NY,8746,92,0,1606520,38227
2021-02-25,US_NY_NYC,3480,74,0,617270,24379
2021-02-26,US_NY,8204,94,0,1614724,38321
2021-02-26,US_NY_NYC,3239,71,0,620509,24450
2021-02-27,US_NY,8141,86,0,1622865,38407
2021-02-27,US_NY_NYC,2015,66,0,622524,24516
2021-02-28,US_NY,7580,90,0,1630445,38497
2021-02-28,US_NY_NYC,2038,68,0,624562,24584
2021-03-01,US_NY,6235,80,0,1636680,38577
2021-03-01,US_NY_NYC,3725,62,0,628287,24646
2021-03-02,US_NY,5800,83,0,1642480,38660
2021-03-02,US_NY_NYC,3109,53,0,631396,24699
2021-03-03,US_NY,7704,75,0,1650184,38735
2021-03-03,US_NY_NYC,3241,72,0,634637,24771
2021-03-04,US_NY,7593,61,0,1657777,38796
2021-03-04,US_NY_NYC,3117,62,0,637754,24833
2021-03-05,US_NY,8956,95,0,1666733,38891
2021-03-05,US_NY_NYC,2886,54,0,640640,24887
2021-03-06,US_NY,7647,79,0,1674380,38970
2021-03-06,US_NY_NYC,2044,56,0,642684,24943
2021-03-07,US_NY,6789,59,0,1681169,39029
2021-03-07,US_NY_NYC,1877,61,0,644561,25004
